revisions_ID,Mockup_ID,Version_number,Completed_at,Created_at,Updated_at,Packaging_ID,Product_ID,Sock_pair_ID,Base_version,Read_at
31829,114060,2,2023-08-11 20:31:32.801000+00:00,2023-08-11 19:26:42.019000+00:00,2023-08-11 20:32:33.501000+00:00,,,,2,2023-08-11 20:32:33.500000+00:00
31792,175023,1,2023-08-11 19:36:49.747000+00:00,2023-08-11 14:18:35.695000+00:00,2023-08-11 19:36:49.747000+00:00,,,,1,
31790,175022,2,2023-08-11 19:36:42.555000+00:00,2023-08-11 14:18:18.876000+00:00,2023-08-11 19:36:42.555000+00:00,,,,2,
31819,179296,1,2023-08-14 17:31:20.871000+00:00,2023-08-11 17:54:33.565000+00:00,2023-08-14 17:31:20.872000+00:00,,,,1,
31789,178109,1,,2023-08-11 13:34:14.675000+00:00,2023-08-14 14:06:20.176000+00:00,,,,1,
31841,179618,3,2023-08-14 16:58:04.222000+00:00,2023-08-11 22:51:04.840000+00:00,2023-08-14 16:58:04.222000+00:00,,,,3,
31839,180229,1,2023-08-11 22:20:07.575000+00:00,2023-08-11 22:12:44.231000+00:00,2023-08-14 22:53:24.579000+00:00,,,,1,2023-08-14 22:53:24.578000+00:00
31844,180451,1,2023-08-14 15:21:18.318000+00:00,2023-08-12 23:17:00.633000+00:00,2023-08-14 15:21:18.319000+00:00,,,,1,
31845,179272,2,2023-08-14 14:50:27.305000+00:00,2023-08-13 17:36:20.723000+00:00,2023-08-14 14:56:33.620000+00:00,,,,2,2023-08-14 14:56:33.619000+00:00
31858,178656,1,2023-08-14 17:22:26.529000+00:00,2023-08-14 14:54:41.054000+00:00,2023-08-14 17:22:26.530000+00:00,,,,1,
31912,180229,2,2023-08-15 16:32:51.903000+00:00,2023-08-14 22:59:45.076000+00:00,2023-08-15 16:32:51.904000+00:00,,,,2,
31867,179793,1,2023-08-14 16:17:17.940000+00:00,2023-08-14 15:54:20.186000+00:00,2023-08-14 16:17:17.940000+00:00,,,,1,
31916,,,2023-08-15 14:56:49.274000+00:00,2023-08-14 23:45:23.081000+00:00,2023-08-15 14:56:49.275000+00:00,91710,,,,
31880,180279,1,2023-08-14 18:16:20.727000+00:00,2023-08-14 18:01:12.771000+00:00,2023-08-14 18:16:20.728000+00:00,,,,1,
31913,180229,2,2023-08-15 16:32:49.647000+00:00,2023-08-14 23:00:27.705000+00:00,2023-08-15 16:32:49.647000+00:00,,,,2,
31905,179295,2,2023-08-14 22:37:15.936000+00:00,2023-08-14 21:55:04.149000+00:00,2023-08-14 22:37:15.937000+00:00,,,,2,
31879,180536,2,,2023-08-14 18:00:32.227000+00:00,2023-08-15 13:22:09.457000+00:00,,,,2,2023-08-15 13:22:09.457000+00:00
31878,180465,1,2023-08-14 21:35:47.551000+00:00,2023-08-14 17:44:31.109000+00:00,2023-08-16 21:22:13.483000+00:00,,,,1,2023-08-16 21:22:13.483000+00:00
31854,180268,1,2023-08-14 17:19:30.339000+00:00,2023-08-14 14:36:45.682000+00:00,2023-08-14 17:19:30.340000+00:00,,,,1,
31883,179912,1,2023-08-16 19:29:43.704000+00:00,2023-08-14 18:16:28.037000+00:00,2023-08-17 15:24:38.739000+00:00,,,,1,2023-08-17 15:24:38.738000+00:00
31864,177000,2,,2023-08-14 15:42:56.633000+00:00,2023-08-14 16:23:15.971000+00:00,,,,5,
31908,176457,1,2023-08-14 22:27:25.956000+00:00,2023-08-14 22:15:46.975000+00:00,2023-08-14 22:27:25.956000+00:00,,,,1,
31852,180240,1,,2023-08-14 14:29:55.036000+00:00,2023-08-14 16:25:54.567000+00:00,,,,1,
31857,179525,1,2023-08-16 15:43:41.808000+00:00,2023-08-14 14:51:49.941000+00:00,2023-12-09 01:07:04.140000+00:00,,,,1,2023-12-09 01:07:04.139000+00:00
31881,180527,1,2023-08-14 21:23:28.101000+00:00,2023-08-14 18:09:35.861000+00:00,2023-08-14 21:23:28.101000+00:00,,,,1,
31893,,,2023-08-14 20:59:50.689000+00:00,2023-08-14 19:52:29.481000+00:00,2023-08-14 20:59:50.689000+00:00,90923,,,,
31870,180321,1,2023-08-14 17:35:15.402000+00:00,2023-08-14 16:38:12.140000+00:00,2023-08-14 17:35:15.402000+00:00,,,,1,
31855,178656,1,2023-08-14 17:22:28.393000+00:00,2023-08-14 14:47:22.660000+00:00,2023-08-14 17:22:28.393000+00:00,,,,1,
31869,180465,1,2023-08-14 17:29:29.190000+00:00,2023-08-14 16:11:16.867000+00:00,2023-08-16 21:22:13.478000+00:00,,,,1,2023-08-16 21:22:13.478000+00:00
31849,180302,1,,2023-08-14 14:09:18.823000+00:00,2023-08-14 14:39:29.630000+00:00,,,,1,
31875,180321,1,2023-08-14 17:35:12.088000+00:00,2023-08-14 17:16:28.174000+00:00,2023-08-14 17:35:25.364000+00:00,,,,1,
31915,,,2023-08-15 14:35:55.850000+00:00,2023-08-14 23:06:51.212000+00:00,2023-08-16 18:24:28.974000+00:00,91681,,,,2023-08-16 18:24:28.973000+00:00
31887,180617,1,2023-08-14 18:51:30.485000+00:00,2023-08-14 18:45:16.800000+00:00,2023-08-14 19:26:25.299000+00:00,,,,1,2023-08-14 19:26:25.298000+00:00
31909,180636,1,2023-08-15 21:30:22.408000+00:00,2023-08-14 22:34:24.468000+00:00,2023-08-15 21:46:05.337000+00:00,,,,1,2023-08-15 21:46:05.337000+00:00
31884,179913,1,2023-08-16 19:25:38.325000+00:00,2023-08-14 18:17:45.423000+00:00,2023-11-17 20:41:17.915000+00:00,,,,1,2023-11-17 20:41:17.915000+00:00
31911,180229,2,2023-08-15 16:32:54.014000+00:00,2023-08-14 22:54:50.010000+00:00,2023-08-15 16:32:54.015000+00:00,,,,2,
31862,,,2023-08-14 15:15:46.506000+00:00,2023-08-14 15:06:13.757000+00:00,2023-08-14 15:15:46.507000+00:00,91583,,,,
31889,166364,6,2023-08-14 21:41:32.968000+00:00,2023-08-14 19:03:33.521000+00:00,2023-08-16 18:23:44.790000+00:00,,,,6,2023-08-16 18:23:44.790000+00:00
31914,,,2023-08-15 14:57:34.898000+00:00,2023-08-14 23:03:23.782000+00:00,2023-08-15 14:57:34.899000+00:00,,29823,,,
31892,179936,1,2023-08-15 14:49:15.950000+00:00,2023-08-14 19:44:13.131000+00:00,2023-08-15 14:49:15.951000+00:00,,,,1,
31847,,,,2023-08-14 13:06:24.719000+00:00,2023-08-14 15:24:22.737000+00:00,91002,,,,
31898,168981,1,2023-08-16 22:22:57.868000+00:00,2023-08-14 20:36:54.604000+00:00,2023-08-16 22:22:57.869000+00:00,,,,1,
31859,179272,2,2023-08-14 15:24:23.477000+00:00,2023-08-14 14:57:08.956000+00:00,2023-08-14 15:24:23.478000+00:00,,,,2,
31865,180508,1,2023-08-15 14:44:31.832000+00:00,2023-08-14 15:44:15.604000+00:00,2023-08-15 14:44:31.832000+00:00,,,,1,
31885,180607,1,2023-08-16 19:23:01.959000+00:00,2023-08-14 18:19:05.124000+00:00,2023-08-21 17:31:56.678000+00:00,,,,1,2023-08-21 17:31:56.678000+00:00
31906,173613,2,2023-08-15 16:18:54.603000+00:00,2023-08-14 22:13:42.411000+00:00,2023-08-15 16:18:54.603000+00:00,,,,2,
31868,,,2023-08-14 16:28:09.500000+00:00,2023-08-14 15:57:11.102000+00:00,2023-08-14 16:31:25.729000+00:00,89542,,,,2023-08-14 16:31:25.729000+00:00
31888,177290,6,2023-08-14 21:36:13.864000+00:00,2023-08-14 18:49:35.745000+00:00,2023-08-14 21:36:13.864000+00:00,,,,6,
31861,172923,1,2023-08-14 18:30:43.696000+00:00,2023-08-14 14:58:45.575000+00:00,2023-08-14 18:30:43.696000+00:00,,,,1,
31886,180579,1,2023-08-14 18:40:54.875000+00:00,2023-08-14 18:27:57.363000+00:00,2023-08-14 18:40:54.875000+00:00,,,,1,
31899,168981,1,2023-08-16 22:22:56.875000+00:00,2023-08-14 20:37:19.932000+00:00,2023-08-16 22:22:56.875000+00:00,,,,1,
31871,180323,1,2023-08-14 17:53:11.250000+00:00,2023-08-14 16:43:41.473000+00:00,2023-08-14 17:53:11.251000+00:00,,,,1,
31910,180643,1,2023-08-15 16:10:57.355000+00:00,2023-08-14 22:41:05.040000+00:00,2023-08-15 16:46:25.070000+00:00,,,,1,2023-08-15 16:46:25.069000+00:00
31860,180063,1,2023-08-15 19:22:07.140000+00:00,2023-08-14 14:57:35.285000+00:00,2023-08-15 19:22:07.140000+00:00,,,,1,
31863,180063,1,2023-08-15 19:34:28.583000+00:00,2023-08-14 15:22:17.699000+00:00,2023-08-15 19:34:28.584000+00:00,,,,1,
31894,179674,1,2023-08-15 14:59:16.573000+00:00,2023-08-14 19:54:23.110000+00:00,2023-08-15 14:59:16.573000+00:00,,,,1,
31853,178930,2,,2023-08-14 14:35:13.070000+00:00,2023-08-14 20:02:56.360000+00:00,,,,2,
31866,100127,1,2023-08-14 17:09:32.768000+00:00,2023-08-14 15:49:43.494000+00:00,2023-08-14 17:09:32.769000+00:00,,,,1,
31891,,,2023-08-14 19:43:22.580000+00:00,2023-08-14 19:29:25.269000+00:00,2023-08-14 19:43:22.581000+00:00,60732,,,,
31896,,,2023-08-14 21:25:36.834000+00:00,2023-08-14 20:20:55.856000+00:00,2023-08-14 21:25:36.834000+00:00,,29823,,,
31873,178933,3,2023-08-15 15:54:11.888000+00:00,2023-08-14 17:00:34.964000+00:00,2023-08-15 17:27:14.799000+00:00,,,,3,2023-08-15 17:27:14.798000+00:00
31882,180552,1,2023-08-14 18:46:36.098000+00:00,2023-08-14 18:15:25.633000+00:00,2023-08-14 18:46:36.098000+00:00,,,,1,
31856,,,2023-08-14 16:31:58.283000+00:00,2023-08-14 14:47:27.644000+00:00,2023-08-14 19:51:34.086000+00:00,90923,,,,2023-08-14 19:51:34.085000+00:00
31903,125268,2,2023-08-14 21:19:01.001000+00:00,2023-08-14 21:12:38.439000+00:00,2023-08-14 21:19:01.001000+00:00,,,,2,
31890,180617,2,2023-08-14 20:30:19.694000+00:00,2023-08-14 19:27:19.814000+00:00,2023-08-14 20:30:19.694000+00:00,,,,2,
31907,173613,2,2023-08-15 16:18:52.658000+00:00,2023-08-14 22:15:04.690000+00:00,2023-08-15 16:18:52.658000+00:00,,,,2,
31901,180632,1,2023-08-15 21:28:03.752000+00:00,2023-08-14 20:41:16.011000+00:00,2023-08-15 21:28:03.752000+00:00,,,,1,
31848,10967,5,2023-08-14 15:15:06.308000+00:00,2023-08-14 13:46:48.375000+00:00,2023-10-16 12:05:08.756000+00:00,,,,5,2023-10-16 12:05:08.755000+00:00
31846,176073,2,2023-08-14 20:43:46.115000+00:00,2023-08-14 04:35:18.942000+00:00,2023-08-22 15:18:30.144000+00:00,,,,2,2023-08-22 15:18:30.143000+00:00
31851,180276,1,,2023-08-14 14:21:09.938000+00:00,2023-08-14 20:38:19.993000+00:00,,,,1,
31895,,,2023-08-14 20:59:53.738000+00:00,2023-08-14 20:01:06.568000+00:00,2023-08-14 21:00:02.879000+00:00,90923,,,,
31872,180019,1,2023-08-15 19:43:49.282000+00:00,2023-08-14 16:44:16.088000+00:00,2023-08-16 13:40:44.963000+00:00,,,,1,2023-08-16 13:40:44.962000+00:00
31850,56930,1,2023-08-14 16:22:32.424000+00:00,2023-08-14 14:17:41.616000+00:00,2023-12-29 10:48:10.785000+00:00,,,,1,2023-12-29 10:48:10.785000+00:00
31904,179421,2,2023-08-15 17:16:24.906000+00:00,2023-08-14 21:51:53.507000+00:00,2023-08-15 17:16:24.907000+00:00,,,,2,
31900,179421,2,2023-08-14 20:46:53.189000+00:00,2023-08-14 20:39:52.186000+00:00,2023-08-14 21:07:18.114000+00:00,,,,2,2023-08-14 21:07:18.113000+00:00
31897,,,2023-08-14 21:25:35.037000+00:00,2023-08-14 20:22:57.720000+00:00,2023-08-14 21:25:35.037000+00:00,,29823,,,
31877,180577,1,2023-08-14 22:06:28.943000+00:00,2023-08-14 17:36:20.211000+00:00,2023-08-14 22:06:28.943000+00:00,,,,1,
31876,179710,1,2023-08-15 14:49:16.445000+00:00,2023-08-14 17:24:34.148000+00:00,2023-08-15 14:49:16.445000+00:00,,,,1,
31902,177089,3,,2023-08-14 21:05:19.565000+00:00,2024-01-22 16:58:54.250000+00:00,,,,3,2024-01-22 16:58:54.250000+00:00
31874,179710,1,2023-08-15 14:49:18.858000+00:00,2023-08-14 17:08:13.028000+00:00,2023-08-15 14:49:18.859000+00:00,,,,1,
31966,178933,4,2023-08-16 17:29:21.087000+00:00,2023-08-15 20:06:27.080000+00:00,2023-08-16 17:29:21.087000+00:00,,,,4,
31925,176277,1,2023-08-15 16:44:57.350000+00:00,2023-08-15 14:29:49.819000+00:00,2023-08-15 16:44:57.350000+00:00,,,,1,
31949,178933,4,2023-08-16 17:29:22.197000+00:00,2023-08-15 17:27:53.801000+00:00,2023-08-16 17:29:22.198000+00:00,,,,4,
